indicator_code,indicator_name,last_published,days_since,status
M_Est_cig_curr,Estimate of current cigarette smoking prevalence (%),2026-01-15,249,ok
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2024-09-09,742,ok
M_Est_cig_daily_crude,"Daily cigarette smoking, crude adjusted",,,empty
M_smkless_def_text_youth,Youth smokeless tobacco use indicator definition,,,empty
LEAD_7,Lead attributable deaths per 100'000 capita,2013-06-11,4850,ok
LEAD_8,Lead attributable DALYs per 100'000 capita,2013-06-11,4850,ok
LEPTO_DALY,Disability-adjusted life years (DALYs) due to leptospirosis,,,empty
LEPTO_DALY100K,Disability-adjusted life years (DALYs) (per 100 000 population) due to leptospirosis,,,empty
LEPTO_MORBIDITY,Estimated leptospirosis incidence (per 100 000 population),,,empty
M_smkless_def_text_adult,Adult smokeless tobacco use indicator definition,,,empty
M_svy_national_adult,Representativeness of survey of adults,,,empty
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2024-09-09,742,ok
M_smkless_age_range_adult,Adult survey age range - smokeless,,,empty
LIFE_0000000031,lx - number of people left alive at age x,2024-09-09,742,ok
M_smkless_svy_yr_adult,Year of survey of adults - smokeless,,,empty
M_smkless_survey_title_youth,Name of survey of youth - smokeless,,,empty
M_survey_title_youth,Name of survey of youth,,,empty
GDO_q12x2x1x1_1NGO,Majority provider of dementia carer training and education (NGO),2021-06-25,1914,ok
MALARIA002,Estimated number of malaria cases,,,empty
HWF_0024,Community Health Workers (number),2026-01-23,241,ok
HWF_0013,Dental Prosthetic Technicians (number),2026-01-23,241,ok
HWF_0019,Medical and Pathology Laboratory scientists  (number),2026-01-23,241,ok
HWF_0020,Medical and Pathology Laboratory Technicians  (number),2026-01-23,241,ok
IHR05,Preparedness,,,empty
HWF_0015,Pharmacists  (number),2026-01-23,241,ok
IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,2017-06-12,3388,ok
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,2017-06-12,3388,ok
AIR_15,Household air pollution attributable DALYs,2026-06-15,98,ok
AIR_45,Ambient air pollution attributable YLLs,,,empty
MH_18,"Mental health units in general hospitals (per 100,000)",2019-04-25,2706,ok
AIR_7,Ambient air pollution attributable DALYs,2026-06-15,98,ok
MH_13,"Beds for mental health in general hospitals (per 100,000)",2019-04-25,2706,ok
MH_16,"Beds in mental hospitals (per 100,000)",2019-04-25,2706,ok
MH_9,"Psychologists working in mental health sector (per 100,000)",2019-04-25,2706,ok
MH_3,Stand-alone mental health legislation,2019-04-25,2706,ok
MH_22,"Occupational therapists in mental health sector (per 100,000)",,,empty
ASSISTIVETECH_METNEED,Prevalence of met need of assistive products (%),2022-06-16,1558,ok
Camp_nat,At least one national mass media campaign ran during the survey period,2023-11-01,1055,ok
GDO_q12x2x1x1_3PUB,Majority provider of respite care for dementia carers (Public sector),2021-06-25,1914,ok
MORT_500,Number of deaths,,,empty
M_def_2_prev_adult,Adult indicator 2 rate,,,empty
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),,,empty
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),2022-05-26,1579,ok
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness,2023-11-01,1055,ok
BP_05,Mean systolic blood pressure (crude estimate),2013-06-11,4850,ok
BP_06,Mean systolic blood pressure (age-standardized estimate),2017-01-11,3540,ok
Camp_news,Earned media/public relations were used to promote the campaign,2023-11-01,1055,ok
Camp_media_planning,Campaign utilized media planning,2023-11-01,1055,ok
Camp_tv_radio,Campaign aired on television and/or radio,2023-11-01,1055,ok
M_svy_age_adult,Adult survey age range,,,empty
MORT_700,Projection of deaths per 100 000 population,2013-11-08,4700,ok
Camp_airtime,Process evaluation was employed to assess implementation,,,empty
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),2022-05-26,1579,ok
CaseCS,"Congenital syphilis number of cases, reported",2025-07-10,438,ok
M_smkless_svy_national_adult,Representativeness of survey of adults - smokeless,,,empty
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2024-09-09,742,ok
M_smkless_svy_yr_youth,Year of survey of youth - smokeless,,,empty
GDO_q14x2_6,Existence of dementia-friendly initiative supporting social opportunities,2021-06-25,1914,ok
GDO_q15x2_2,Existence of dementia training for police and fire services,2021-06-25,1914,ok
GDO_q15x2_3,Existence of dementia training for first responders,2021-06-25,1914,ok
GDO_q16x1x1_2,Data sources used to routinely monitor people with dementia (Household surveys),2017-11-28,3219,ok
GDO_q16x2_3,Availability of routine outpatient intervention and treatment records for people with dementia for monitoring purposes,2021-06-25,1914,ok
GDO_q16x1x2_2,Data used to routinely monitor people with dementia can be disaggregated,2017-11-28,3219,ok
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),2025-10-29,327,ok
CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%),2017-01-17,3534,ok
CC_2,Climate change attributable DALYs ('000),2013-06-11,4850,ok
CC_8,Climate change  attributable DALYs per 100'000 children under 5 years,2013-06-11,4850,ok
CC_3,Climate change attributable deaths per 100'000 capita,2013-06-11,4850,ok
GDO_q16x1x1_other,Data sources used to routinely monitor people with dementia (Other),2017-11-28,3219,ok
