indicator_code,indicator_name,last_published,days_since,status
E_compl_all_dir,Overall compliance with bans on direct advertising (score),2023-10-31,1041,ok
WCO_TOTALSTAFFCO_PER100,,,,empty
TB_c_lab_sm_100k,Laboratories providing tuberculosis diagnostic services using sputum smear microscopy (per 100 000 population),2015-10-21,3973,ok
GOE_Q153,Lack of capacity,2018-03-28,3084,ok
SA_0000001722,Government support for community action,2018-09-04,2924,ok
E5_billboards,Ban on advertising: Billboards and outdoor advertising,2023-10-31,1041,ok
RS_237,Existence of a formal pre-hospital care system,2013-06-11,4835,ok
TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,Tobacco Offer help: O2 Availability of tobacco cessation medications,2025-07-05,428,ok
HRH_03,,,,empty
NCD_PAC_ADO,Insufficiently active (crude estimate),2019-11-14,2488,ok
MDG_0000000025,Births attended by skilled health personnel (%),2026-04-21,138,ok
GDO_q13x1x1,Implementation level [national/subnational] of dementia awareness campaign,2021-06-25,1899,ok
OBGYN_ADMISSIONS_ABORTION,,,,empty
MALARIA_IMPORTED,Number of imported malaria cases,2025-12-19,261,ok
GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",2021-06-25,1899,ok
NCD_HYP_TREATMENT_A,"Hypertension treatment coverage among adults aged 30-79 with hypertension, age-standardized (%)",2025-10-30,311,ok
SA_0000001815,Ethanol tax deducted from excise tax,2018-09-04,2924,ok
SA_0000001798,"Licenses issued for retail sale, change since 2010",2018-09-04,2924,ok
M_smkless_prev_youth,,,,empty
